MeasuredParameterId	DateTime	Value	EcomonMonitoringPoint	Ecomontimestamp_ms	KazHydrometAirPostId	MaxValueDay	MaxValueMonth	Month	Year	MaxValuePerMonth	MaxValuePerYear
14		0.076041667			1	4		5	2011	0.2	
14		0.07826087			1	9		3	2011	0.3	
14		0.1375			1	17		11	2011	0.7	
14		0.086538462			1	15		10	2011	0.4	
14		0.095192308			1	2		9	2011	0.2	
14		0.09375			1	16		2	2011	0.3	
14		0.254347826			1	28		1	2011	0.7	
14		0.148076923			1	28		8	2012	5.9	
14		0.116			1	12		4	2012	0.3	
14		0.155434783			1	7		12	2012	0.5	
14		0.106			1	2		7	2012	0.2	
14		0.107692308			1	12		6	2012	0.4	
14		0.115			1	21		5	2012	0.4	
14		0.114130435			1	3		3	2012	0.4	
14		0.120192308			1	14		11	2012	0.4	
14		0.101153846			1	29		10	2012	0.3	
14		0.095			1	25		9	2012	0.4	
14		0.292			1	4		2	2012	0.6	
14		0.247826087			1	11		1	2012	0.5	
14		0.102884615			1	8		8	2013	0.2	
14		0.043269231			1	29		4	2013	0.1	
14		0.120652174			1	24		12	2013	0.4	
14		0.043269231			1	3		7	2013	0.1	
14		0.043			1	3		6	2013	0.1	
14		0.026041667			1	2		5	2013	0.1	
14		0.083181818			1	2		3	2013	0.3	
14		0.124134615			1	29		11	2013	0.5	
14		0.103846154			1	30		10	2013	0.5	
14		0.105			1	14		9	2013	0.4	
14		0.138541667			1	2		2	2013	0.4	
14		0.170833333			1	8		1	2013	0.8	
14		0.098			1	19		8	2014	0.2	
14		0.042884615			1	1		4	2014	0.1	
14		0.091666667			1	2		12	2014	0.2	
14		0.100961538			1	1		7	2014	0.2	
14		0.075			1	27		6	2014	0.2	
14		0.073958333			1	3		5	2014	0.1	
14		0.080681818			1	1		3	2014	0.3	
14		0.073			1	1		11	2014	0.1	
14		0.074038462			1	14		10	2014	0.2	
14		0.098076923			1	30		9	2014	0.2	
14		0.146041667			1	15		2	2014	0.5	
14		0.105208333			1	9		1	2014	0.3	
14		0.109			1	3		8	2015	0.2	
14		0.080769231			1	4		4	2015	0.2	
14		0.114583333			1	4		12	2015	0.3	
14		0.099038462			1	1		7	2015	0.1	
14		0.092307692			1	1		6	2015	0.1	
14		0.093478261			1	5		5	2015	0.2	
14		0.092045455			1	2		3	2015	0.2	
14		0.086			1	3		11	2015	0.3	
14		0.100925926			1	28		10	2015	0.6	
14		0.0942			1	16		9	2015	0.2	
14		0.105208333			1	4		2	2015	0.2	
14		0.0834375			1	20		1	2015	0.11	
14		0.081730769			1	18		8	2016	0.3	
14		0.086538462			1	11		4	2016	0.2	
14		0.102083333			1	2		12	2016	0.2	
14		0.11			1	19		7	2016	0.3	
14		0.099038462			1	14		6	2016	0.3	
14		0.090217391			1	4		5	2016	0.1	
14		0.092391304			1	1		3	2016	0.2	
14		0.093557692			1	30		11	2016	0.2	
14		0.1125			1	12		10	2016	0.4	
14		0.1233			1	1		9	2016	0.4	
14		0.091			1	29		2	2016	0.3	
14		0.079021739			1	26		1	2016	0.11	
14		0.119230769			1	1		8	2017	0.3	
14		0.076			1	29		4	2017	0.2	
14		0.124			1	1		7	2017	0.2	
14		0.099038462			1	1		6	2017	0.3	
14		0.1196875			1	20		5	2017	0.5	
14		0.086956522			1	1		3	2017	0.3	
14		0.105769231			1	31		10	2017	0.2	
14		0.1228			1	16		9	2017	0.47	
14		0.10625			1	2		2	2017	0.2	
14		0.109021739			1	17		1	2017	0.3	
13		0.0779			1	12		8	2007	0.16	
13		0.042020202			1	26		4	2007	0.11	
13		0.099130435			1	31		12	2007	0.23	
13		0.073942308			1	31		7	2007	0.18	
13		0.07375			1	23		6	2007	0.18	
13		0.062268041			1	15		5	2007	0.23	
13		0.0515			1	6		3	2007	0.13	
13		0.110673077			1	30		11	2007	0.24	
13		0.100576923			1	15		10	2007	0.25	
13		0.094257426			1	19		9	2007	0.22	
13		0.066666667			1	5		2	2007	0.18	
13		0.114141414			1	29		1	2007	0.29	
13		0.0726			1	29		8	2008	0.14	
13		0.084711538			1	3		4	2008	0.19	
13		0.090833333			1	13		12	2008	0.2	
13		0.058557692			1	2		7	2008	0.12	
13		0.072020202			1	25		6	2008	0.19	
13		0.078865979			1	19		5	2008	0.19	
13		0.100729167			1	15		3	2008	0.22	
13		0.1123			1	21		11	2008	0.26	
13		0.085353535			1	7		10	2008	0.17	
13		0.0807			1	4		9	2008	0.19	
13		0.1319			1	1		2	2008	0.26	
13		0.145714286			1	31		1	2008	0.28	
13		0.0875			1	3		8	2009	0.24	
13		0.07970297			1	10		4	2009	0.24	
13		0.1415			1	30		12	2009	0.35	
13		0.115384615			1	9		7	2009	0.24	
13		0.073557692			1	16		6	2009	0.21	
13		0.08076087			1	18		5	2009	0.18	
13		0.109583333			1	12		3	2009	0.25	
13		0.2313			1	11		11	2009	6	
13		0.089166667			1	24		10	2009	0.23	
13		0.097019231			1	15		9	2009	0.4	
13		0.108333333			1	9		2	2009	0.26	
13		0.149782609			1	27		1	2009	0.26	
13		0.1114			1	20		8	2010	0.21	
13		0.105673077			1	16		4	2010	0.21	
13		0.1363			1	10		12	2010	0.23	
13		0.072980769			1	19		7	2010	0.2	
